OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover	Consistent_hierarchy
6137af9009c34940a574b54aa47e36e3	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber			0	0	1
bf70f36b1fdaa810d34eec422b1ea8e7	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma podzolica		0	0	1
6e0aad40eef826caa9ff007f65f7ceb1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma			0	0	1
79ef15ce964d8a59543ffc2f0793ab94	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum xylopini		0	0	1
493e63a8440d1c7d7c283909fb555d47	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum			0	0	1
93ed84c01857503f79c501fc3e5472e9	Fungi	Rozellomycota		Branch02					0	0	0
48a36e0ada23dadb0e87985d3ee4c67e	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum			0	0	1
6b05ecc7a4d2f598e2a66c5e3e07b17d	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella			0	0	1
5c7709c9b6596231fcbfffb65c7a9f26	Fungi	Basidiomycota	Cystobasidiomycetes	Sakaguchiales	Sakaguchiaceae	Sakaguchia		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina	81.900	85	1
787c864c97299c15b49038674e167d8c	Fungi	Rozellomycota		Gs08					0	0	0
c9f3752a99b0da6f243a4ff0f1d187ce	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium			0	0	1
d34216a641d0b14179ceddc2bf7f4827	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Glomeromycotina;Glomeromycetes	85.992	100	1
3429140f838244695927ae830b6064ae	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Leucosporidiaceae	Leucosporidium		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina	88.646	89	1
6a941b65f18a2e2cc7f7f1f6266653bf	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma			0	0	1
82ea2c5accac9f7255b79318fec32010	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium			0	0	1
30bbdbdeb8a7e061f9eeb82565aff900	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Lipomyces			0	0	1
8a7252933b8d23eb9ecc69b5405224f0	Fungi	Ascomycota							0	0	0
bf28b712fda1d8bb9b328eb3f275a6ae	Fungi	Ascomycota							0	0	0
172975c7a4fcc0bbfca4ec1da39ddcdc	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae			Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina	79.537	100	0
d353aadf0b54ad8275b5dc1cf906e634	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces			0	0	1
