OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover	Consistent_hierarchy
5388e47c7a7e917f08cb43964aa0a516	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	89.815	85	1
eac61ba264aad5d6c0e34a8ed2fbf207	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Thaxterogaster	Thaxterogaster caesiophylloides		0	0	1
dcdd80781f658db44971e3bfc7a14003	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Pezoloma		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	87.209	99	1
63e8d2630fe6eccbf4019feb3eafe5ef	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	88.725	81	1
d310e10d335e553ab7c84c0abb405f67	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius orasericeus		0	0	1
2c561729b75b256e98e6e9459e54bada	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	80.303	100	1
5d2993190265c82a8c5b6a4630bb94c5	Fungi	Ascomycota	Leotiomycetes	Helotiales		Leohumicola		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.400	97	0
211f4989fb7bcaf642f9b5ad698679b5	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius melleopallens		0	0	1
966fedbf784603ef60360271f31f43bb	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Pezoloma		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	88.426	84	1
a817097cfd503703a039396b3df24cbf	Fungi	Ascomycota	Leotiomycetes	Helotiales		Leohumicola		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.400	97	0
c4e91b59d7565dad52ab53ed85e27bcf	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Meliniomyces		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.818	86	1
ed9c6d055682609fc6bb439e4ed0b483	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae				0	0	0
3cc6fddd1e4eb6341550f00873ec90cb	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	85.500	79	1
891dd53fbce8431555585af8c0024e5d	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	85.500	79	1
2a2b21f980b30b0179d0c60e77386227	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Pezoloma		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	88.426	84	1
03af440e73b3a85a6c9caa6a36a491cc	Fungi	Ascomycota	Leotiomycetes	Helotiales		Leohumicola		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	83.721	100	0
e37f6ed4ad15ef6706b4b3f6ecf39a21	Fungi	Ascomycota	Leotiomycetes	Helotiales		Leohumicola		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	85.887	97	0
a3037f183bd792435d128db71d143872	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis			0	0	1
30994438e8b4773de35ecbd314c1fc23	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita			0	0	1
5e2226e65553f1b2b588f59e59a4e074	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	86.735	78	1
df6a2860b402daf901124d646e6b649c	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus			0	0	1
674867e17dd12ed7987322e09e2e5350	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita			0	0	1
0288b29bcd1eea8e826919d3c0684e46	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	86.294	78	1
fd5b1c3425e4584fb61617f7abd64c80	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	80.303	100	1
e8ec21e79dd66e337e0aaab4f3bd2232	Fungi	Ascomycota	Leotiomycetes	Helotiales		Leohumicola		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	85.600	97	0
b6a444e189394b31a2162a85ff8d3247	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella			0	0	1
01b6466ef5addedfc7c3548cbb894b51	Fungi	Basidiomycota	Gs25						0	0	0
2d7f0aee510581daeeac89402ed21b07	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Pezoloma		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	87.963	84	1
24ff6c5835dad37377d79804b0661621	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella			0	0	1
