OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover	Consistent_hierarchy
5388e47c7a7e917f08cb43964aa0a516	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1				Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	89.815	85	0
eac61ba264aad5d6c0e34a8ed2fbf207	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Cortinariaceae_1	Cortinarius_1	Cortinarius caesiophylloides 		0	0	0
dcdd80781f658db44971e3bfc7a14003	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Leotiaceae_1	Pezoloma_1	Pezoloma ericae 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	87.209	99	0
63e8d2630fe6eccbf4019feb3eafe5ef	Fungi_1	Ascomycota_1	Lecanoromycetes_1	Acarosporales_1				Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	88.725	81	0
d310e10d335e553ab7c84c0abb405f67	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Cortinariaceae_1	Cortinarius_1			0	0	0
2c561729b75b256e98e6e9459e54bada	Fungi_1	Basidiomycota_1	Geminibasidiomycetes_1	Geminibasidiales_1	Geminibasidiaceae_1	Geminibasidium_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	80.303	100	0
5d2993190265c82a8c5b6a4630bb94c5	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1		Leohumicola_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.400	97	0
211f4989fb7bcaf642f9b5ad698679b5	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Cortinariaceae_1	Cortinarius_1			0	0	0
966fedbf784603ef60360271f31f43bb	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Leotiaceae_1	Pezoloma_1	Pezoloma ericae 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	88.426	84	0
a817097cfd503703a039396b3df24cbf	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1		Leohumicola_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.400	97	0
c4e91b59d7565dad52ab53ed85e27bcf	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Helotiaceae_1	Meliniomyces_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.818	86	0
ed9c6d055682609fc6bb439e4ed0b483	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1	Serendipita_1			0	0	0
3cc6fddd1e4eb6341550f00873ec90cb	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Hygrophoraceae_1	Hygrophorus_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	85.500	79	0
891dd53fbce8431555585af8c0024e5d	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Hygrophoraceae_1	Hygrophorus_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	85.500	79	0
2a2b21f980b30b0179d0c60e77386227	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Leotiaceae_1	Pezoloma_1	Pezoloma ericae 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	88.426	84	0
03af440e73b3a85a6c9caa6a36a491cc	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1		Leohumicola_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	83.721	100	0
e37f6ed4ad15ef6706b4b3f6ecf39a21	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1		Leohumicola_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	85.887	97	0
a3037f183bd792435d128db71d143872	Fungi_1	Mucoromycota_1	Umbelopsidomycetes_1	Umbelopsidales_1	Umbelopsidaceae_1	Umbelopsis_1	Umbelopsis dimorpha 		0	0	0
30994438e8b4773de35ecbd314c1fc23	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1	Serendipita_1			0	0	0
5e2226e65553f1b2b588f59e59a4e074	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1	Serendipita_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	86.735	78	0
df6a2860b402daf901124d646e6b649c	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Hygrophoraceae_1	Hygrophorus_1			0	0	0
674867e17dd12ed7987322e09e2e5350	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1	Serendipita_1			0	0	0
0288b29bcd1eea8e826919d3c0684e46	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1	Serendipita_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	86.294	78	0
fd5b1c3425e4584fb61617f7abd64c80	Fungi_1	Basidiomycota_1	Geminibasidiomycetes_1	Geminibasidiales_1	Geminibasidiaceae_1	Geminibasidium_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	80.303	100	0
e8ec21e79dd66e337e0aaab4f3bd2232	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1		Leohumicola_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	85.600	97	0
b6a444e189394b31a2162a85ff8d3247	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1	Mortierellaceae_1	Mortierella_1			0	0	0
01b6466ef5addedfc7c3548cbb894b51	Fungi_1	Basidiomycota_1	Gs25_1	Gs25_2					0	0	0
2d7f0aee510581daeeac89402ed21b07	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Leotiaceae_1	Pezoloma_1	Pezoloma ericae 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	87.963	84	0
24ff6c5835dad37377d79804b0661621	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1	Mortierellaceae_1	Mortierella_1			0	0	0
2a1e578ca2bf4c5b730885e6cdb3b873	Fungi_1	Basidiomycota_1	Geminibasidiomycetes_1	Geminibasidiales_1	Geminibasidiaceae_1	Geminibasidium_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	80.303	100	0
3c103e7548d8bd66240f6008ff9ebd91	Fungi_1	Basidiomycota_1	Geminibasidiomycetes_1	Geminibasidiales_1	Geminibasidiaceae_1	Geminibasidium_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	80.682	100	0
ad9c8ec00cb3237b9f06753a1f0a2072	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1	Serendipita_1			0	0	0
391681cee96ba7747f55713860512529	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Leotiaceae_1	Pezoloma_1	Pezoloma ericae 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	85.769	100	0
e556926caff9e23fa82039f96b6bd76c	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1	Serendipita_1			0	0	0
068ef368fa4a9b082047b084cb0c33f9	Fungi_1	Basidiomycota_1	Gs25_1	Gs25_2					0	0	0
e40de61baf0bfd4876bca815dfd6ffa8	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1				0	0	0
