OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover	Consistent_hierarchy
2df1291b835577c71d2d1760ce2ff331	Fungi								0	0	1
74f2317e5bfd4d09bba2b65b727798cb	Fungi	Ascomycota	Sordariomycetes						0	0	0
f07bc4ff06e114f9f28d30a0aac05ad0	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae			Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	78.472	100	1
3c9e634b963a6b8a66971d67029cfc39	Fungi	Ascomycota	Sordariomycetes					Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	78.082	100	0
a328bed1dddd8d7546a24d1e8c79988c	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Conoideocrella		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	79.856	100	1
066a87908db2a7ed401def94723d99fc	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.643	100	1
eae01302f4e46f56d3b9e19ed5c9054b	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces	Ampelomyces quisqualis		0	0	1
598f6c6691bbe3d5d785a86ab5106319	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	Phleogenaceae	Atractidochium	Atractidochium hillariae		0	0	1
adc7ce851b6521336aeacabb1daf1ff5	Fungi							Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	98.496	100	0
6ecac8706df472978d191beb3baaa727	Fungi	Ascomycota	Sordariomycetes	Phyllachorales	Phyllachoraceae	Phyllachora		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	100.000	77	1
811257a1cec12e5f1ce960a18f8082fa	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Ampelomyces	Ampelomyces quisqualis		0	0	1
e43f5a77db369d8b6dce80aad983c3c4	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales				Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	79.167	100	1
a84d934118eb22d9d45ece381dc4fb8a	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces eucalypti	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	78.322	100	1
56a870005fc11f7a06600ff7f8fd1949	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium marchalianum	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	83.214	100	1
1e754245ee4091bbb0fa410161278b92	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae				0	0	0
eab5381eddce7058caf6a6c960e41f0c	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia			0	0	1
3643ff71c5c18f936e12ce6cdef42898	Fungi	Ascomycota	Leotiomycetes	Helotiales				Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	82.105	100	0
