OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover	Consistent_hierarchy
d0526350a0b20df41a13fc57efe405c4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium lilacinum	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.017	100	1
1111d7d87202a8afc8fd1c701dff0e83	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.475	95	1
fa5cef8f87ffdc005b13e53e50f0e8b8	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia		Mitochondria	98.795	99	1
3c396cc810e5dba8473927c11e731fac	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia		Mitochondria	98.745	96	1
cb651a1edfe39ddd706972b432325f8d	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	96.507	100	1
218c0bd2f0e1cbf299f4eb65cce22129	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia		Mitochondria	98.326	96	1
662904b350c70d6b29b90b8d0709c5c7	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia		Mitochondria	98.745	96	1
a43a20a86edb969778450fa1e7701b7f	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	86.475	95	1
8ff3657b73c1570698b5748573d30b3a	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia		Mitochondria	98.326	96	1
4cc0b246c4fb61230de8abb646b9a405	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia		Mitochondria	98.745	96	1
3d00d11b521fb3fa3404fbc4bf5a44fd	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Neoprotoparmelia		Mitochondria	98.326	96	1
d4351985fcae51b32052ea478e9abae6	Fungi							Chloroplast	98.800	100	1
c81320a950146921383762eee10b5aeb	Fungi							Chloroplast	98.745	96	1
eb1bd2522951d0b7e5230d1a86d4106b	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	96.653	96	1
6caf2c3cfaf2040433685206e15ac240	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Kirschsteiniotheliaceae	Taeniolella		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	83.691	100	1
dac05f3089cdd5544d997cd0ea2a0217	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Kirschsteiniotheliaceae	Taeniolella		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	83.262	100	1
