OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover	Consistent_hierarchy
dc0b0dfa64b7287d4eef30d55c8973c8	Fungi_1	Ascomycota_1							0	0	0
91e158a0910ceba6bedcc37283569fcd	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Sporidiobolales_1	Sporidiobolaceae_1	Sporobolomyces_1	Sporobolomyces phaffii 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina	78.731	84	0
e37c243255c52de4743edac25f3435e4	Fungi_1								0	0	0
cddf4b2729c8708ae988f558c69f5349	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1	Epicoccum_1	Epicoccum dendrobii 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	95.510	96	0
16e3342f2097d0a5e383f695fa94657e	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Leptosphaeriaceae_1	Sphaerellopsis_1	Sphaerellopsis filum 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	78.840	96	0
9fc0b684281ad0b55d724ddb4c60130c	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Mycosphaerellaceae_1	Pseudocercospora_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	94.475	100	0
169011567fcca53adc34a81160d37932	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Mycosphaerellaceae_1			Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	91.312	100	0
4031d18cb6b754ba52780ffaee2aad25	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1	Epicoccum_1	Epicoccum dendrobii 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	95.385	96	0
0ccb85e36c2bb394736b00cc5e674023	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Mycosphaerellaceae_1			Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	91.225	100	0
35305cbadb3f43ba3b2e42663e4e0981	Fungi_1	Ascomycota_1							0	0	0
19eb7abc2f2abb898a3b41b9212e0acd	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Leptosphaeriaceae_1	Sphaerellopsis_1	Sphaerellopsis filum 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	78.788	98	0
f3a2cd3027f6225365130298077cf0e3	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Leptosphaeriaceae_1	Sphaerellopsis_1	Sphaerellopsis filum 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	79.054	97	0
3d11decca5e88d009c0487709ce5532f	Fungi_1	Ascomycota_1	Leotiomycetes_1						0	0	0
1d64c00347e418e4fb9f0616c56100d3	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Leptosphaeriaceae_1	Sphaerellopsis_1	Sphaerellopsis filum 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	79.054	97	0
9dd8818adf8a90eebce739a44be77f38	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Leptosphaeriaceae_1	Sphaerellopsis_1	Sphaerellopsis filum 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	79.054	97	0
f1738da038786a706a697c58e42356f1	Fungi_1	Ascomycota_1	Taphrinomycetes_1	Taphrinales_1	Taphrinaceae_1	Taphrina_1			0	0	0
6fb78b06fb42ee02e31d63da3c7dbfe4	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Leptosphaeriaceae_1	Sphaerellopsis_1	Sphaerellopsis filum 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	79.070	99	0
e0d105130a3686c3bbec65724026941e	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Leptosphaeriaceae_1	Sphaerellopsis_1	Sphaerellopsis filum 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	78.788	98	0
cd1c543b1d8ae35ed256e4bac0a0f5de	Fungi_1	Ascomycota_1	Sordariomycetes_1	Xylariales_1	Microdochiaceae_1	Microdochium_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	82.353	95	0
2ab4984881ca34f0f58d57c21747f468	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1					0	0	0
e9b3c07989246c9a582cda926acc3247	Fungi_1	Ascomycota_1	Sordariomycetes_1	Xylariales_1	Microdochiaceae_1	Microdochium_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	76.426	95	0
