OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover	Consistent_hierarchy
6ce7604e712f963bbd0ae0f6b7a3cf5e	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	99.163	99	0
13e7b8a06495a2a02960d987f52945c4	Fungi_1	Ascomycota_1	Dothideomycetes_1	Dothideales_1				Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	98.431	100	0
413136fe2d03cd090965a1bdc10b6cc0	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Cystofilobasidiales_1	Mrakiaceae_1	Itersonilia_1	Itersonilia pannonica 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	82.470	100	0
a799dbcb6a01b08a03c6e9f63607d22f	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Sporidiobolales_1	Sporidiobolaceae_1	Sporobolomyces_1	Sporobolomyces roseus 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina	75.847	99	0
698823fbad90d73a2cbe815475a54f81	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Clavicipitaceae_1	Metapochonia_1	Metapochonia goniodes 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	83.465	100	0
352ef71b173862624d354d652ff490b2	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Cystofilobasidiales_1	Mrakiaceae_1	Itersonilia_1	Itersonilia pannonica 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina	82.470	100	0
7fbb93d82e4abea98be2b43aa3e311fd	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1				Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	98.268	100	0
c275b24483e0d450fe8d31de29e850d0	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Filobasidiales_1	Filobasidiaceae_1	Filobasidium_1			0	0	0
bf5b3d89020b717ed5a86a0ad6f1c568	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1	Epicoccum_1	Epicoccum dendrobii 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	94.954	100	0
a72c981083dab1cfec2a54b56f61978c	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Mycosphaerellaceae_1	Septoria_1	Septoria cretae 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	100.000	100	0
c89d6879f318c834e237eb8101e1c4a9	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1		Symmetrosporaceae_1	Symmetrospora_1		Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina	82.222	97	0
4a3c9bd1e5d32db8e17fb2503e4b606a	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Mycosphaerellaceae_1	Septoria_1	Septoria cretae 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	100.000	99	0
3147a98fd48a99055edc06082af13ebf	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1			Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	98.667	97	0
995896c24002596dfb6febd4681bb444	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleraceae_1	Bullera_1	Bullera crocea 		0	0	0
cd075a683f70dc3ac1264007124f2056	Fungi_1	Ascomycota_1	Taphrinomycetes_1	Taphrinales_1	Protomycetaceae_1	Protomyces_1	Protomyces inouyei 		0	0	0
e741828449f7b1502a43c93b8b124368	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1			Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	98.655	97	0
27cce0a9409a8505266db35002a46c4a	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Cystofilobasidiales_1	Cystofilobasidiaceae_1	Cystofilobasidium_1	Cystofilobasidium macerans 		0	0	0
31710f04c1d3def7bfea4ec1a43757f0	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Mycosphaerellaceae_1	Mycosphaerella_1	Mycosphaerella tassiana 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	100.000	100	0
556c1c830351bb5b6a2de69519bf9c6e	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Sporidiobolales_1	Sporidiobolaceae_1	Rhodotorula_1	Rhodotorula kratochvilovae 	Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina	77.682	99	0
8215ad83dca46e5997d88ca18ef7dfe3	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Cystofilobasidiales_1	Cystofilobasidiaceae_1	Cystofilobasidium_1	Cystofilobasidium macerans 		0	0	0
ca8f4aa9f4c5c5b9cb7a9957d4a57f74	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Mycosphaerellaceae_1			Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina	99.130	100	0
