	bioproject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	harvest	isotope	fraction	density.g.ml	qPCR.16S.copies.ul	leaf	BioProject	Unnamed: 2	env_biome	env_feature	env_material	host_taxid	ref_biomaterial	rel_to_oxygen	samp_collect_device	differentiation	host_disease	host_genotype	source_material_id	samp_mat_process	samp_size	loader	Attribute	host_height	strain	ecotype	isol_growth_condt	host_age	host_infra_specific_name	plant_body_site	host_health_status	Sample_identity	host_life_stage	air_temp_regm	climate_environment	Stefanie Glaeser	Ebru Aydogan	Peter Kaempfer	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA first public	ENA last update	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sample name	sequencing method	replicates	fungicide_regm	miscellaneous environmental package	ID	envir_treatment	sample_ID	altitude	temp	tree_height	Plantation	Replicate	humidity_regm	mechanical_damage	radiation_regm	samp_store_loc	samp_store_temp	season_environment	cultivar	plot	Sequencing Technology	Plant ID	collected_by	agricultural_management	antibiotic_regm	biotic_relationship	chem_administration	chem_mutagen	extrachrom_elements	fertilizer_regm	gravity	growth_hormone_regm	growth_med	herbicide_regm	host_dry_mass	host_infra_specific_rank	host_length	host_phenotype	host_tot_mass	host_wet_mass	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_product	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_vol_we_dna_ext	standing_water_regm	subspecf_gen_lin	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	Site	Meter	TransectLocation	SiteDescription	PCC	d15N_NA	d15N	perc_N	C.N	Tree_density	BA_m2	perc.sw	perc.hw	Moisture	FixationRate	MAT	MAP	UV_light	Radiation	Olayer.depth	Perm.depth	pH
SAMN09630242	PRJNA480528	Microbe sample from fungus	2015-03-30	China:Nanjing	32.06 N 118.82 E	missing	missing	missing	Environment	Soil	metagenomic assembly	below ground fungal community shifts in a fire chronosequence of great Khingan mountain	missing	missing	missing	MIGS/MIMS/MIMARKS.soil																																																																																																																																																
SAMN10819254	PRJNA517070	Svalbard, tap water	2017	Svalbard:Ny-Alesund	78.92534 N 11.93239 E				tap water				tap water	tap water	tap water	Metagenome or environmental																																																																																																																																																
SAMN10819255	PRJNA517070	Svalbard, glacial meltwater	2017	Svalbard:Ny-Alesund	78.886310 N 12.147993 E				glacial meltwater				glacial meltwater	glacial meltwater	glacial meltwater	Metagenome or environmental																																																																																																																																																
SAMN10819252	PRJNA517070	Svalbard, sea water	2017	Svalbard:Ny-Alesund	78.928113 N 11.935260 E				sea water				sea water	sea water	sea water	Metagenome or environmental																																																																																																																																																
SAMN10819253	PRJNA517070	Svalbard, sea water	2017	Svalbard:Ny-Alesund	78.937911 N 11.937170 E				sea water				sea water	sea water	sea water	Metagenome or environmental																																																																																																																																																
SAMN10819248	PRJNA517070	Svalbard, subglacial ice	2017	Svalbard:Ny-Alesund	78.879527 N 12.299257 E				subglacial ice				subglacial ice	subglacial ice	subglacial ice	Metagenome or environmental																																																																																																																																																
SAMN10819249	PRJNA517070	Svalbard, subglacial ice	2017	Svalbard:Ny-Alesund	78.879616 N 12.303359 E				subglacial ice				subglacial ice	subglacial ice	subglacial ice	Metagenome or environmental																																																																																																																																																
SAMN10819250	PRJNA517070	Svalbard, subglacial ice	2017	Svalbard:Ny-Alesund	78.915354 N 11.763458 E				subglacial ice				subglacial ice	subglacial ice	subglacial ice	Metagenome or environmental																																																																																																																																																
SAMN10819251	PRJNA517070	Svalbard, moraine lake water	2017	Svalbard:Ny-Alesund	78.900106 N 12.069259 E				moraine lake water				moraine lake water	moraine lake water	moraine lake water	Metagenome or environmental																																																																																																																																																
SAMN10819244	PRJNA517070	Svalbard, clear glacial ice from iceberg in sea water	2017	Svalbard:Ny-Alesund	78.886029 N 12.436453 E				clear glacial ice from iceberg in sea water				clear glacial ice from iceberg in sea water	clear glacial ice from iceberg in sea water	clear glacial ice from iceberg in sea water	Metagenome or environmental																																																																																																																																																
SAMN10819245	PRJNA517070	Svalbard, clear glacial ice from iceberg in sea water	2017	Svalbard:Ny-Alesund	78.886028 N 12.436452 E				clear glacial ice from iceberg in sea water				clear glacial ice from iceberg in sea water	clear glacial ice from iceberg in sea water	clear glacial ice from iceberg in sea water	Metagenome or environmental																																																																																																																																																
SAMN10819246	PRJNA517070	Svalbard, subglacial ice	2017	Svalbard:Ny-Alesund	78.893572 N 12.070259 E				subglacial ice				subglacial ice	subglacial ice	subglacial ice	Metagenome or environmental																																																																																																																																																
SAMN10819247	PRJNA517070	Svalbard, subglacial ice	2017	Svalbard:Ny-Alesund	78.893944 N 12.069138 E				subglacial ice				subglacial ice	subglacial ice	subglacial ice	Metagenome or environmental																																																																																																																																																
SAMN16507906	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H1	16	18	1.743644	64.6483368	Arizona Ash																																																																																																																																									
SAMN16507798	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	20	1.740176	46.96915447	Arizona Ash																																																																																																																																									
SAMN16507905	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H1	16	16	1.730928	75.94177261	Arizona Ash																																																																																																																																									
SAMN16507904	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H1	16	13	1.719368	189.6530428	Arizona Ash																																																																																																																																									
SAMN16507903	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H1	16	12	1.714744	150.4857781	Arizona Ash																																																																																																																																									
SAMN16507902	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H1	16	11	1.71012	158.1084077	Arizona Ash																																																																																																																																									
SAMN16507901	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H1	16	10	1.707808	2034.238024	Arizona Ash																																																																																																																																									
SAMN16507900	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	H1	16	1	1.647696	562.9963575	Arizona Ash																																																																																																																																									
SAMN16507899	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	9	1.7013798	166316.7129	Arizona Ash																																																																																																																																									
SAMN16507898	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	8	1.6980684	187940.0456	Arizona Ash																																																																																																																																									
SAMN16507897	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	7	1.6936532	282282.3933	Arizona Ash																																																																																																																																									
SAMN16507896	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	6	1.6914456	631986.0547	Arizona Ash																																																																																																																																									
SAMN16507797	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	2	1.665036	2336.110805	Arizona Ash																																																																																																																																									
SAMN16507895	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	5	1.689238	544843.3443	Arizona Ash																																																																																																																																									
SAMN16507894	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	4	1.6870304	549288.6477	Arizona Ash																																																																																																																																									
SAMN16507893	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	3	1.6859266	446855.1521	Arizona Ash																																																																																																																																									
SAMN16507892	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	2	1.6848228	404318.0247	Arizona Ash																																																																																																																																									
SAMN16507891	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	15	1.7245596	113134.9583	Arizona Ash																																																																																																																																									
SAMN16507890	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H2	18	14	1.7201444	177840.5559	Arizona Ash																																																																																																																																									
