	BioProject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	BioProject.1	rel_to_oxygen	samp_collect_device	samp_size	cultivar	plot	BioSample	Target	Layout	Primer_set	Region	Extraction_method	Fwd_file	Rev_file
SRR16571672	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 10							SAMN22563719	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C0-1-2_1.fq.gz	ITS_N1C0-1-2_2.fq.gz
SRR16571673	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 9							SAMN22563718	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C2-3-2_1.fq.gz	ITS_N0C2-3-2_2.fq.gz
SRR16571674	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 8							SAMN22563717	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C2-2-2_1.fq.gz	ITS_N0C2-2-2_2.fq.gz
SRR16571675	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 7							SAMN22563716	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C2-1-2_1.fq.gz	ITS_N0C2-1-2_2.fq.gz
SRR16571676	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 6							SAMN22563715	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C1-3-2_1.fq.gz	ITS_N0C1-3-2_2.fq.gz
SRR16571677	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 5							SAMN22563714	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C1-2-2_1.fq.gz	ITS_N0C1-2-2_2.fq.gz
SRR16571678	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 4							SAMN22563713	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C1-1-2_1.fq.gz	ITS_N0C1-1-2_2.fq.gz
SRR16571679	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 3							SAMN22563712	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N0C0-3-2_1.fq.gz	ITS_N0C0-3-2_2.fq.gz
SRR16571680	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 18							SAMN22563727	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C2-3-2_1.fq.gz	ITS_N1C2-3-2_2.fq.gz
SRR16571681	PRJNA774441		2020-06-17	China:Nanjing	32.01 N 118.52 E				greenhouse vegetable soil							Metagenome or environmental	replicate = biological replicate 17							SAMN22563726	Fungi	paired	ITS3_KYO2-ITS4	ITS2	HiPure Soil DNA Kits	ITS_N1C2-2-2_1.fq.gz	ITS_N1C2-2-2_2.fq.gz
