"","taxon","p_mean","n_mean","log2fold","glm.nb_est","glm.nb_stderr","glm.nb_zval","glm.nb_pval"
"1","Acarospora",0.00112195711768502,0.0157026425401911,-3.80691792453527,-2.63875442601474,5.80432694927326,-0.454618502554396,0.649383721216055
"2","Acarosporaceae",0.00565685647267442,0.0157026425401911,-1.47293489331006,-1.02096066844623,2.34891953603832,-0.434651188677234,0.663815633377621
"3","Acarosporales",0.00565685647267442,0.0157026425401911,-1.47293489331006,-1.02096066844623,2.34891953603832,-0.434651188677234,0.663815633377621
"4","Acaulospora",0.000102977015272509,0.00226082701247859,-4.45645634297313,-3.08898014942031,19.8637128331715,-0.155508699474443,0.876420296183614
"5","Acaulosporaceae",0.000102977015272509,0.00226082701247859,-4.45645634297313,-3.08898014942031,19.8637128331715,-0.155508699474443,0.876420296183614
"6","Achroiostachys",0.0024153371399833,0.00304033114368863,-0.332003887408561,-0.230127558492185,5.67657488688774,-0.0405398612856767,0.967662728437334
"7","Acremonium",0.0090316531110708,0.0152016557184432,-0.751166485149364,-0.520668931312407,2.52483477358691,-0.206219011540592,0.836619837939039
"8","Acremonium acutatum",0.00448782847074008,0.00304033114368863,0.561789069548851,0.389402509627181,5.90227015582189,0.0659750400010209,0.947397697342244
"9","Acremonium persicinum",0.00358947830965367,0.0091209934310659,-1.34541678716802,-0.932571852703531,3.51793763196361,-0.265090501954975,0.790939744018967
"10","Acremonium sclerotigenum",0.00072658158371407,0.00152016557184432,-1.06503176212699,-0.738223763125114,8.17230028955005,-0.0903324323592323,0.92802304819972
"11","Acrophialophora",0.00673174270611011,0.00304033114368863,1.14675157027001,0.794867617735346,5.68866949263928,0.13972821215292,0.888874734995319
"12","Acrostalagmus",0.000262744995587626,0.00152016557184432,-2.5324932751627,-1.75539057346604,9.95359632352133,-0.176357420615691,0.86001315373897
"13","Acrostalagmus luteoalbus",0.000262744995587626,0.00152016557184432,-2.5324932751627,-1.75539057346604,9.95359632352133,-0.176357420615691,0.86001315373897
