"","taxon","rank","node"
"1","Eurotiomycetes","class",1657
"2","Sordariomycetes","class",1991
"3","Dothideomycetes","class",1873
"4","Leotiomycetes","class",2317
"5","Orbiliomycetes","class",2407
"6","Lecanoromycetes","class",1860
"7","Pezizomycetes","class",2400
"8","Arthoniomycetes","class",NA
"9","Xylonomycetes","class",1871
"10","Saccharomycetes","class",2409
"11","Neolectomycetes","class",2741
"12","Pneumocystidomycetes","class",2744
"13","Schizosaccharomycetes","class",2746
"14","Taphrinomycetes","class",2749
"15","Agaricomycetes","class",2758
"16","Tremellomycetes","class",3012
"17","Pucciniomycetes","class",3157
"18","Microbotryomycetes","class",3138
"19","Moniliellomycetes","class",NA
"20","Malasseziomycetes","class",3114
"21","Geminibasidiomycetes","class",NA
"22","Exobasidiomycetes","class",3079
"23","Mixiomycetes","class",NA
"24","Ustilaginomycetes","class",3091
"25","Wallemiomycetes","class",3077
"26","Cystobasidiomycetes","class",3172
"27","Agaricostilbomycetes","class",NA
"28","Dacrymycetes","class",3010
"29","Blastocladiomycetes","class",3263
"30","Chytridiomycetes","class",3246
"31","Neocallimastigomycetes","class",3259
"32","Monoblepharidomycetes","class",NA
"33","Mucoromycetes","class",3182
"34","Endogonomycetes","class",3179
"35","Mortierellomycetes","class",3222
"36","Glomeromycetes","class",3216
"37","Umbelopsidomycetes","class",NA
"38","Basidiobolomycetes","class",3225
"39","Zoopagomycetes","class",3239
"40","Harpellomycetes","class",3230
"41","Kickxellomycetes","class",3237
"42","Entomophthoromycetes","class",3238
"43","Dimargaritomycetes","class",NA
"44","Eurotiales","order",1659
"45","Glomerellales","order",2234
"46","Capnodiales","order",1940
"47","Magnaporthales","order",1996
"48","Erysiphales","order",2336
"49","Hypocreales","order",2069
"50","Helotiales","order",2319
"51","Orbiliales","order",2407
"52","Lecanorales","order",1862
"53","Pleosporales","order",1873
"54","Sordariales","order",2053
"55","Pezizales","order",2400
"56","Botryosphaeriales","order",1923
"57","Onygenales","order",1795
"58","Ophiostomatales","order",2012
"59","Xylariales","order",2298
"60","Microascales","order",2269
"61","Coniochaetales","order",2066
"62","Diaporthales","order",2038
"63","Umbilicariales","order",NA
"64","Chaetothyriales","order",1832
"65","Arthoniales","order",NA
"66","Venturiales","order",1933
"67","Hysteriales","order",1922
"68","Teloschistales","order",NA
"69","Verrucariales","order",NA
"70","Myriangiales","order",NA
"71","Symbiotaphrinales","order",NA
"72","Phaeomoniellales","order",NA
"73","Dothideales","order",1986
"74","Mytilinidiales","order",NA
"75","Togniniales","order",NA
"76","Xylonales","order",NA
"77","Saccharomycetales","order",2409
"78","Neolectales","order",NA
"79","Pneumocystidales","order",2744
"80","Schizosaccharomycetales","order",2746
"81","Taphrinales","order",2749
"82","Agaricales","order",2763
"83","Trichosporonales","order",3017
"84","Pucciniales","order",3157
"85","Sporidiobolales","order",3147
"86","Moniliellales","order",NA
"87","Boletales","order",2761
"88","Polyporales","order",2898
"89","Gomphales","order",2994
"90","Russulales","order",2945
"91","Auriculariales","order",2760
"92","Cantharellales","order",3003
"93","Malasseziales","order",3114
"94","Corticiales","order",2979
"95","Geminibasidiales","order",NA
"96","Thelephorales","order",2943
"97","Geastrales","order",NA
"98","Hymenochaetales","order",2983
"99","Tilletiales","order",3129
"100","Tremellales","order",3015
"101","Atheliales","order",2855
"102","Holtermanniales","order",3068
"103","Ceraceosorales","order",3085
