Order_id,old_taxonID_linked_genome_sequence,new_taxonID_in_Fig.1,No. Complete and single-copy,No. Complete and duplicated,No. Fragmented,Missing,No. Complete and single-copy(pct),CUG_usage,#Organism Name linked to NCBI record,Strain linked to NCBI record,species linked to NCBI record,genus linked to NCBI record,family/clade linked to NCBI record,order linked to NCBI record,class linked to NCBI record,subphyum linked to NCBI record,phyum linked to NCBI record,Current species name in Mycobank,genus in Mycobank, family in Mycobank,order in Mycobank,class in Mycobank,subphylum in Mycobank,phylum in Mycobank,Assembly,Link
1,Aspergillus_terreus,Aspergillus_terreus,120,1,101,68,41.37931034,Leu,Aspergillus terreus,T3_Kankrej,Aspergillus terreus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus terreus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_002930435.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/930/435/GCA_002930435.1_ASM293043v1/GCA_002930435.1_ASM293043v1_genomic.fna.gz
2,Verticillium_longisporum,Verticillium_longisporum,107,176,6,1,36.89655172,Leu,Verticillium longisporum,VL1,Verticillium longisporum,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Pezizomycotina,Ascomycota,Verticillium longisporum,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001268145.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/268/145/GCA_001268145.1_vl1.denovo.v1/GCA_001268145.1_vl1.denovo.v1_genomic.fna.gz
3,Cladosporium_sphaerospermum,Cladosporium_sphaerospermum,144,141,1,4,49.65517241,Leu,Cladosporium sphaerospermum,IMV 00045,Cladosporium sphaerospermum,Cladosporium,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,Cladosporium sphaerospermum,Cladosporium,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_001931905.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/931/905/GCA_001931905.2_ASM193190v2/GCA_001931905.2_ASM193190v2_genomic.fna.gz
4,Magnaporthe_oryzae,Pyricularia_oryzae,182,0,52,56,62.75862069,Leu,Magnaporthe oryzae,,Magnaporthe oryzae,Magnaporthe,Magnaporthaceae,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,Pyricularia oryzae,Pyricularia,Pyriculariaceae,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_900474375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/375/GCA_900474375.1_CD156_genome/GCA_900474375.1_CD156_genome_genomic.fna.gz
5,Rachicladosporium_sp._CCFEE_5018,Rachicladosporium_sp._CCFEE_5018,132,153,2,3,45.51724138,Leu,Rachicladosporium sp. CCFEE 5018,CCFEE 5018,Rachicladosporium sp.,Rachicladosporium,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,NA,Rachicladosporium,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_002077045.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/077/045/GCA_002077045.2_ASM207704v2/GCA_002077045.2_ASM207704v2_genomic.fna.gz
6,Erysiphe_pisi,Erysiphe_pisi,167,1,79,43,57.5862069,Leu,Erysiphe pisi,,Erysiphe pisi,Erysiphe,Erysiphaceae,Erysiphales,Leotiomycetes,Pezizomycotina,Ascomycota,Erysiphe pisi,Erysiphe,Erysiphaceae,Erysiphales,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000208805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/805/GCA_000208805.1_ASM20880v1/GCA_000208805.1_ASM20880v1_genomic.fna.gz
7,Fusarium_azukicola,Neocosmospora_phaseoli_NRRL_54364,190,2,77,21,65.51724138,Leu,Fusarium azukicola,NRRL 54364,Fusarium azukicola,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Neocosmospora phaseoli,Neocosmospora,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001680625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/680/625/GCA_001680625.1_ASM168062v1/GCA_001680625.1_ASM168062v1_genomic.fna.gz
8,Monilinia_fructigena,Monilinia_fructigena,216,2,35,37,74.48275862,Leu,Monilinia fructigena,Mfrg269,Monilinia fructigena,Monilinia,Sclerotiniaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,Monilinia fructigena,Monilinia,Sclerotiniaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_003260565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/260/565/GCA_003260565.1_ASM326056v1/GCA_003260565.1_ASM326056v1_genomic.fna.gz
9,Colletotrichum_godetiae,Colletotrichum_godetiae,191,1,9,89,65.86206897,Leu,Colletotrichum godetiae,C184,Colletotrichum godetiae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Pezizomycotina,Ascomycota,Colletotrichum godetiae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001663355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/355/GCA_001663355.1_ASM166335v1/GCA_001663355.1_ASM166335v1_genomic.fna.gz
10,Fusarium_brasiliense,Neocosmospora_phaseoli_NRRL_31757,218,1,58,13,75.17241379,Leu,Fusarium brasiliense,NRRL 31757,Fusarium brasiliense,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Neocosmospora phaseoli,Neocosmospora,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001680685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/680/685/GCA_001680685.1_ASM168068v1/GCA_001680685.1_ASM168068v1_genomic.fna.gz
